[1M7VMQmb5bjAnP4WRofQScyedZsyqkJXTK;85180000]:[1K6zYSvwB4k6ADipQcZRfTDgf1965PWbYg;40180000,1KhN2hUTRsrfKtyyEWaxesW46xXM6TdP58;45000000]
[14dZCbRFAzWKGt6o55YBAofQBAdpvQk7cL;24504000000]:[1HJwv4eZeqwoGtFMyj4afMzyz1tcyJ25dy;24488000000,1PdvUcg3kVxghJzk1fFnLLZm7XRJgZojDU;16000000]
[12GrUT3AgYLRTzQNCAW22fqXd49GvVq96y;244022229]:[1DMx9C4tVmoYKsKHW8LuZf2yRJdKPrMPAr;143022229,1K7GzNeV2yP3KZjv3GV1UqWMoeTyq3ap8p;100000000]
[1J8AgGNzDUmG1xJvFdLwxRsEMAUAt5Cixv;4093400000]:[1G9SQvChjouTyHiAtjK1bnxPU7qBucEFeB;4087400000,142N9cdsAKVoJ8XRLyfN7b4yrmuZ5vnNS1;5000000]
[17mTu1bygn4RUELuXa3MwLQy6uYGRe5pJ;7634841420]:[1NAEus85pSv5mzyNsjubviRCvpongPQ8UD;7508791420,19K45ThM3yJoHScVgYETdcCiT5thQBJzSX;126000000]
[136j1WrDKkNXfs3TwmyriPbgWmsFvwa6MS;54084000000]:[162AwuJ88wX9TfB2d5NkNFWpwqm2zfPHit;54078000000,1LCMwNLxmXfkLaHyr1JoqEQghhAv9U5Uva;6000000]
[16Nizn1dnWtY2AZ2M6sCi82QSAY7RfVQfa;4491000000]:[12JHEdcs6M69vBCyZDnyfZ9kwcbsrYhyyP;4490000000,1BC8at76CpnFkkiyqSdZuoAuTwoPT8wGEo;1000000]
[1GHXA7Jc25GvZ9Gjzift7JDWCjaNwqZFDh;4091600000]:[1MR2TVRoQeLK8krzJX8qPoXpeoVUZ9ykta;3983600000,19uftTMoBiXBCz5DNvZ5owRMU8RVC1qYBP;108000000]
[1BGkt8i9XLH7Y1H8VkFQL3gRfDnyjE81Q4;100000000]:[1DfDqcmGiF5REW2bjL9yTY9PvgDwL176es;100000000]
[123ErbRrwu83WvVzEhXxeC1mfnkfbEnPEs;2400000]:[18k64EKmbrB1GL8BCu88P534R88cvyFb2R;1400000,1BFS4rFzhB8gPAHx9WgkDwcjqPQMcXqbD;1000000]
[16qjvW3xP5FLh8ksgWx92Z6EuZdNTjLoda;689850000]:[14GbKdYbtAMPXJAQaKf3rkkxp9CPauYYRv;674850000,142UmkZpJdo6PE8audyhBea3vqLEXS3Yz1;15000000]
[18Uecj2NLr5sTU4E2NQqAS4wWjvMcWZm5m;19729374161]:[127vp7YKAEsKRydbUD1fY71E1mkgpruJUd;18829374161,1LQkV81DMWJFhF34sieDo321RtsFqwv6Vg;900000000]
[1Y2fFWqMVESeiSm2SFUhvGJp9vwNbCGmD;109000000]:[1A1HXSt1vxPEepQMZVkzrJMiaLpdSQxx3i;108000000]
